"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
102,259.2434,TRUE,FALSE,"Heptadecene","[M+Na-2H]-",48.2,-1,0,"Heptadecene (259.2434)"
106,267.2332,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 267.2332 (unknown)"
107,269.2487,TRUE,TRUE,"C17:0","[M-H]-",98.2,-1,0.1,"C17:0 (269.2487)"
108,277.2176,TRUE,TRUE,"linolenic acid (C18:3)","[M-H]-",94.2,-1,0.3,"linolenic acid (C18:3) (277.2176)"
109,279.2332,TRUE,TRUE,"Linoleic acid (C18:2)","[M-H]-",96.2,-1,0.1,"Linoleic acid (C18:2) (279.2332)"
110,280.237,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 280.2370 (unknown)"
111,280.265,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 280.2650 (unknown)"
112,281.0705,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 281.0705 (unknown)"
113,281.2487,TRUE,TRUE,"oleic acid","[M-H]-",98,-1,0.4,"oleic acid (281.2487)"
114,282.2522,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 282.2522 (unknown)"
116,283.1449,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 283.1449 (unknown)"
117,283.2643,TRUE,TRUE,"Stearic acid (C18:0)","[M-H]-",99.9,-1,0.3,"Stearic acid (C18:0) (283.2643)"
119,284.2678,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 284.2678 (unknown)"
121,290.0891,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 290.0891 (unknown)"
122,297.039,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 297.0390 (unknown)"
123,297.2439,FALSE,TRUE,NA,NA,NA,-1,-0.1,"m/z 297.2439 (unknown)"
124,297.2806,TRUE,FALSE,"Methyl stearic acid","[M-H]-",88.5,-1,0.1,"Methyl stearic acid (297.2806)"
125,299.0541,TRUE,TRUE,"Trihydroxymethoxyflavone","[M-H]-",66.5,-1,0.4,"Trihydroxymethoxyflavone (299.0541)"
126,300.0573,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 300.0573 (unknown)"
127,301.2175,TRUE,TRUE,"eicosapentaenoic acid (C20:5)","[M-H]-",96.3,-1,0.3,"eicosapentaenoic acid (C20:5) (301.2175)"
128,302.2211,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 302.2211 (unknown)"
129,303.2331,TRUE,TRUE,"Arachidonic acid (C20:4)","[M-H]-",96.9,-1,0.1,"Arachidonic acid (C20:4) (303.2331)"
130,304.2366,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 304.2366 (unknown)"
131,305.2487,TRUE,TRUE,"Dihomo-gamma-linolenic acid (C20:3)","[M-H]-",99.2,-1,0.3,"Dihomo-gamma-linolenic acid (C20:3) (305.2487)"
132,306.0775,TRUE,FALSE,"Glutathione","[M-H]-",83.9,-1,0.9,"Glutathione (306.0775)"
133,306.2519,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 306.2519 (unknown)"
134,307.2631,TRUE,TRUE,"eicosadienoic acid","[M-H]-",81.4,-1,0.4,"eicosadienoic acid (307.2631)"
136,309.2803,TRUE,TRUE,"C20:1","[M-H]-",93.1,-1,0.4,"C20:1 (309.2803)"
137,311.1751,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 311.1751 (unknown)"
138,311.2954,TRUE,FALSE,"Arachidic acid (C20:0)","[M-H]-",97,-1,0.4,"Arachidic acid (C20:0) (311.2954)"
139,312.174,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 312.1740 (unknown)"
140,315.0497,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 315.0497 (unknown)"
144,327.2337,TRUE,TRUE,"Docosahexaenoic acid (C22:6)","[M-H]-",88.7,-1,0.3,"Docosahexaenoic acid (C22:6) (327.2337)"
146,328.0589,TRUE,FALSE,"Glutathione","[M+Na-2H]-",94.2,-1,1,"Glutathione (328.0589)"
147,328.2368,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 328.2368 (unknown)"
148,329.2488,TRUE,TRUE,"C22:5","[M-H]-",96.9,-1,0.3,"C22:5 (329.2488)"
149,330.2524,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 330.2524 (unknown)"
150,331.2649,TRUE,TRUE,"Docosatetraenoic acid (C22:4)","[M-H]-",90.7,-1,0.1,"Docosatetraenoic acid (C22:4) (331.2649)"
152,333.2794,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 333.2794 (unknown)"
157,346.0577,TRUE,TRUE,"Adenosine monophosphate","[M-H]-",72.3,-1,0.7,"Adenosine monophosphate (346.0577)"
159,355.0417,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 355.0417 (unknown)"
161,361.2106,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 361.2106 (unknown)"
164,363.2311,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 363.2311 (unknown)"
167,375.2319,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 375.2319 (unknown)"
168,376.2285,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 376.2285 (unknown)"
170,377.2476,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 377.2476 (unknown)"
174,389.2113,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 389.2113 (unknown)"
175,389.2473,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 389.2473 (unknown)"
177,391.2258,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 391.2258 (unknown)"
178,392.2296,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 392.2296 (unknown)"
179,393.2357,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 393.2357 (unknown)"
180,401.2469,TRUE,TRUE,"Arachidonyl glycerol ether","[M+K-2H]-",92.7,-1,0.1,"Arachidonyl glycerol ether (401.2469)"
182,403.2619,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 403.2619 (unknown)"
183,404.2591,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 404.2591 (unknown)"
184,405.2431,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 405.2431 (unknown)"
185,405.2783,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 405.2783 (unknown)"
186,407.2216,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 407.2216 (unknown)"
187,409.2369,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 409.2369 (unknown)"
188,410.2404,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 410.2404 (unknown)"
189,410.3671,TRUE,FALSE,"Tricosanoylglycine","[M-H]-",61.6,-1,-0.1,"Tricosanoylglycine (410.3671)"
190,411.3014,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 411.3014 (unknown)"
191,415.2255,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 415.2255 (unknown)"
192,417.2414,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 417.2414 (unknown)"
193,418.2459,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 418.2459 (unknown)"
194,418.2735,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 418.2735 (unknown)"
195,419.2569,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 419.2569 (unknown)"
196,420.2606,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 420.2606 (unknown)"
197,421.2662,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 421.2662 (unknown)"
198,423.2535,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 423.2535 (unknown)"
200,431.2196,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 431.2196 (unknown)"
201,433.2369,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 433.2369 (unknown)"
202,435.2527,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 435.2527 (unknown)"
203,436.2563,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 436.2563 (unknown)"
204,436.2839,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 436.2839 (unknown)"
205,437.2677,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 437.2677 (unknown)"
206,437.3171,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 437.3171 (unknown)"
207,438.271,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 438.2710 (unknown)"
208,439.2137,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 439.2137 (unknown)"
209,439.2274,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 439.2274 (unknown)"
210,441.2421,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 441.2421 (unknown)"
212,443.258,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 443.2580 (unknown)"
213,445.2723,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 445.2723 (unknown)"
214,446.2745,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 446.2745 (unknown)"
215,446.3046,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 446.3046 (unknown)"
216,447.2892,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 447.2892 (unknown)"
217,452.2812,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 452.2812 (unknown)"
218,457.2253,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 457.2253 (unknown)"
219,458.2674,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 458.2674 (unknown)"
220,459.2492,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 459.2492 (unknown)"
221,460.284,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 460.2840 (unknown)"
