"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",4,80,0.593651239973341,8.29551449438039e-06,5.18384477185813e-06,9.56666587675541e-07,0.106193737693894,0.746743029957948
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",5,160,0.766586666020312,1.07120652177124e-05,7.36931148133299e-06,1.23535133182263e-06,0.0710697950349063,0.499755213775733
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",6,250,0.359197682373385,5.01932680307392e-06,4.07512696476901e-06,5.78845621736662e-07,0.0232770346947687,0.163681623736719
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",1,10,0.27733583606964,1.13844783102175e-05,3.85293315012573e-06,1.06458225194877e-06,0.205422309457672,2.15063280794003
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",2,20,0.189895380034874,7.79509732984773e-06,3.34385505841125e-06,7.28933029994112e-07,0.110405903893865,1.155875229576
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",3,50,0.137058311387787,5.62616571786091e-06,3.26833812341713e-06,5.26112484608253e-07,0.0687674193286925,0.719948424862438
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",4,80,0.197227320628291,8.09606932048723e-06,5.63862173523707e-06,7.57077441256324e-07,0.0473807267289743,0.496044201023695
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",5,160,0.181811539730616,7.46326028379074e-06,5.47412368414316e-06,6.9790237403034e-07,0.0448437781519372,0.46948406324588
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",6,250,0.220977516402018,9.07100134687536e-06,6.70972862836888e-06,8.48245020821015e-07,0.0381027369666897,0.39890991591523
"AO_0h_sl6A_sec3a",2,"AO_0h_sl6A_sec3a 2","mixed",7,500,0.100615837242213,4.13022288421724e-06,3.04217210114527e-06,3.86224283565463e-07,0.0281047277236713,0.294237513249279
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",1,10,0.947693034857995,1.05351527768179e-05,3.11231069567174e-06,1.14226082497257e-06,0.267631747806202,1.68099748438943
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",2,20,0.592628833254935,6.58803543831431e-06,3.36195737449483e-06,7.14299541177643e-07,0.177319658381313,1.11374641504648
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",3,50,1.31673973385673,1.46377083646773e-05,8.64642043791331e-06,1.58707530745409e-06,0.10943512051297,0.687363004554178
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",4,80,0.813585103780278,9.04432453336839e-06,6.23462687871441e-06,9.80619628558004e-07,0.0808452109418219,0.507789517993001
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",5,160,0.816529848077465,9.07706016602415e-06,6.6972402471054e-06,9.84168948777227e-07,0.0714223342514366,0.448604342310035
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",6,250,1.26610278713873,1.40747961661026e-05,1.21205574802927e-05,1.52604225307392e-06,0.0442828686131407,0.27814110751218
"AO_0h_sl6A_sec3a",3,"AO_0h_sl6A_sec3a 3","basolateral_out",7,500,NA,NA,NA,NA,NA,NA
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",1,10,0,0,0,0,0.171596153329789,2.00030991202773
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",2,20,0.0644242181797318,2.47052836131266e-06,1.28234821847117e-06,1.35301197210264e-07,0.082893902370846,0.966300766896491
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",3,50,0.205382455723754,7.87596956731417e-06,4.98190137551542e-06,4.313361175433e-07,0.0510232690839555,0.594782277528926
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",4,80,0.136036941408931,5.2167202246736e-06,3.5086178531242e-06,2.85699408661842e-07,0.0377028080729308,0.439504611473541
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",5,160,0.13327749645709,5.11090152469365e-06,3.76142899444188e-06,2.79904131417215e-07,0.023628701887193,0.275441644093636
"AO_0h_sl6A_sec3a",5,"AO_0h_sl6A_sec3a 5","apical_out",6,250,0.147912623130914,5.67212673689905e-06,4.75767781064051e-06,3.10640246130599e-07,0.0117036811340159,0.136430735335836
